Product name in Flipkart,Retail Price in Flipkart,Discounted Price in Flipkart,Product name in Amazon,Retail Price in Amazon,Discounted Price in Amazon
Clincher Semonday Boots,3499.0,3499.0,Clincher Semonday Boots,3497,4157
"Srushti Art Jewelry Megnet_Led_Sport_BlackRed1 Digital Watch  - For Men, Women, Boys, Girls",799.0,200.0,"Srushti Art Jewelry Megnet_Led_Sport_BlackRed1 Digital Watch  - For Men, Women, Boys, Girls",790,233
Kielz Ladies Boots,2499.0,1149.0,Kielz Ladies Boots,2485,1446
"Q&Q VQ13-008 Analog Watch  - For Girls, Boys",585.0,526.0,"Q&Q VQ13-008 Analog Watch  - For Girls, Boys",573,620
Belle Gambe Boots,3499.0,1765.0,Belle Gambe Boots,3495,2123
"Escort E-1700-906_Blk Analog Watch  - For Men, Boys",1925.0,1829.0,"Escort E-1700-906_Blk Analog Watch  - For Men, Boys",1919,2269
Roxy Boots,19995.0,9997.0,Roxy Boots,19979,12156
Lee Men's Jeans,2699.0,1619.0,Lee Men's Jeans,2681,2089
Bruno Manetti 676 Boots,2999.0,1199.0,Bruno Manetti 676 Boots,2979,1482
"Estilo 1056 Analog Watch  - For Boys, Men",1299.0,299.0,"Estilo 1056 Analog Watch  - For Boys, Men",1295,371
Jack klein BlackLed Digital Watch  - For Boys,999.0,150.0,Jack klein BlackLed Digital Watch  - For Boys,994,187
"North Moon IW-005-FK Silicone Ion Digital Watch  - For Boys, Girls, Women",235.0,150.0,"North Moon IW-005-FK Silicone Ion Digital Watch  - For Boys, Girls, Women",220,176
Shuz Touch Boots,1499.0,1270.0,Shuz Touch Boots,1484,1448
Foot Candy Boots,2899.0,1699.0,Foot Candy Boots,2887,2095
Credos Boots,4499.0,3499.0,Credos Boots,4496,4097
"Rich Club Apple Shaped LED Digital Watch  - For Boys, Girls",999.0,149.0,"Rich Club Apple Shaped LED Digital Watch  - For Boys, Girls",996,164
"Skmei AD1031-Black Formal Analog-Digital Watch  - For Men, Boys",2499.0,1699.0,"Skmei AD1031-Black Formal Analog-Digital Watch  - For Men, Boys",2489,2146
Kielz Ladies Boots,2799.0,1299.0,Kielz Ladies Boots,2792,1535
"Kms Ironman_Look_Led_Black11 Digital Watch  - For Men, Women, Girls, Boys",1395.0,350.0,"Kms Ironman_Look_Led_Black11 Digital Watch  - For Men, Women, Girls, Boys",1378,392
Anand Archies Boots,499.0,499.0,Anand Archies Boots,492,575
Magnum Footwear Lifestyle Boots,2999.0,1899.0,Magnum Footwear Lifestyle Boots,2992,2185
Steppings Trendy Boots,2199.0,1099.0,Steppings Trendy Boots,2185,1390
Swag 670038 Analog Watch  - For Boys,2499.0,899.0,Swag 670038 Analog Watch  - For Boys,2480,1126
Bonzer Boots,999.0,499.0,Bonzer Boots,987,582
Roadster Skinny Fit Fit Men's Jeans,2499.0,1249.0,Roadster Skinny Fit Fit Men's Jeans,2495,1414
Selfie Black Denim Boots,1000.0,499.0,Selfie Black Denim Boots,990,638
Steppings Boots Boots,3199.0,2559.0,Steppings Boots Boots,3193,2835
"Q&Q LLA2-213 Digital Watch  - For Boys, Girls",645.0,645.0,"Q&Q LLA2-213 Digital Watch  - For Boys, Girls",626,822
Belle Gambe Winter Boots,3499.0,1695.0,Belle Gambe Winter Boots,3498,1943
"Hala Red In Black trendy digital Digital Watch  - For Boys, Girls, Men",399.0,159.0,"Hala Red In Black trendy digital Digital Watch  - For Boys, Girls, Men",398,180
Kielz Ladies Boots,2499.0,1249.0,Kielz Ladies Boots,2485,1518
Kielz Boots,2499.0,1999.0,Kielz Boots,2496,2566
"Franck Bella FB74C Analog Watch  - For Boys, Men",1299.0,780.0,"Franck Bella FB74C Analog Watch  - For Boys, Men",1295,931
Carlton London Boots,2295.0,2295.0,Carlton London Boots,2279,2871
Ridas Apl_led_black Apple Shape Digital Watch  - For Boys,349.0,249.0,Ridas Apl_led_black Apple Shape Digital Watch  - For Boys,331,298
Shuz Touch Boots,4495.0,4495.0,Shuz Touch Boots,4485,5839
La Briza Andria Boots,2099.0,2099.0,La Briza Andria Boots,2085,2641
"Skmei 1070BLK Sports Analog-Digital Watch  - For Men, Boys",2345.0,1179.0,"Skmei 1070BLK Sports Analog-Digital Watch  - For Men, Boys",2343,1456
Kielz Ladies Boots,1899.0,999.0,Kielz Ladies Boots,1883,1236
Carlton London Boots,1995.0,1995.0,Carlton London Boots,1988,2334
"Skmei AD1057-Dark-Orange Sports Analog-Digital Watch  - For Men, Boys",1799.0,1199.0,"Skmei AD1057-Dark-Orange Sports Analog-Digital Watch  - For Men, Boys",1784,1327
Urban Country Ladies Boots,3299.0,1650.0,Urban Country Ladies Boots,3296,2015
Now SP-ETHNIC Analog Watch  - For Boys,600.0,600.0,Now SP-ETHNIC Analog Watch  - For Boys,586,767
"Disney MSFR190-01B Analog Watch  - For Boys, Girls",1350.0,1350.0,"Disney MSFR190-01B Analog Watch  - For Boys, Girls",1344,1597
Get Glamr Designer Yuvu Boots,3499.0,2799.0,Get Glamr Designer Yuvu Boots,3483,3565
Kielz Boots,2499.0,2399.0,Kielz Boots,2481,3094
Belle Gambe Boots,3999.0,1765.0,Belle Gambe Boots,3985,1979
Remson India Boots,3999.0,1999.0,Remson India Boots,3993,2458
Steppings Trendy Boots,1599.0,639.0,Steppings Trendy Boots,1592,734
Jacques Farel KWD2324 Analog Watch  - For Boys,2850.0,1567.0,Jacques Farel KWD2324 Analog Watch  - For Boys,2838,1748
Rialto Boots,2795.0,1800.0,Rialto Boots,2786,2165
Salt N Pepper 13-455 Pisa Black Boots,4995.0,3746.0,Salt N Pepper 13-455 Pisa Black Boots,4993,4661
"Oxter Chrono Blue Italia Analog Watch  - For Men, Boys",999.0,299.0,"Oxter Chrono Blue Italia Analog Watch  - For Men, Boys",988,354
Klaur Melbourne Boots,3499.0,1574.0,Klaur Melbourne Boots,3480,1868
"Positif Pfbk612 Analog Watch  - For Men, Boys",1100.0,800.0,"Positif Pfbk612 Analog Watch  - For Men, Boys",1086,978
Selfie Boots,1200.0,599.0,Selfie Boots,1183,751
"D'SIGNER 688RGM _BRN Analog Watch  - For Men, Boys",8995.0,8545.0,"D'SIGNER 688RGM _BRN Analog Watch  - For Men, Boys",8975,10759
Salt N Pepper 13-019 Femme Taupe Boots Boots,4195.0,2050.0,Salt N Pepper 13-019 Femme Taupe Boots Boots,4181,2524
"Franck Bella FB127A Analog Watch  - For Boys, Men",1250.0,999.0,"Franck Bella FB127A Analog Watch  - For Boys, Men",1232,1292
Get Glamr Stylish Boots,1999.0,499.0,Get Glamr Stylish Boots,1992,596
"Felix 3541 W-S METAL Analog Watch  - For Boys, Girls",1350.0,555.0,"Felix 3541 W-S METAL Analog Watch  - For Boys, Girls",1340,719
Steppings Trendy Boots,1799.0,719.0,Steppings Trendy Boots,1789,910
Steppings Boots Boots,3199.0,2559.0,Steppings Boots Boots,3186,3195
"Skmei DG0939-Red Sports Digital Watch  - For Men, Boys",1499.0,999.0,"Skmei DG0939-Red Sports Digital Watch  - For Men, Boys",1488,1206
Do Bhai Boots,799.0,699.0,Do Bhai Boots,798,904
"Vizion 8502-4BLUE Sports Series Digital Watch  - For Boys, Girls",1095.0,595.0,"Vizion 8502-4BLUE Sports Series Digital Watch  - For Boys, Girls",1076,736
Steppings Boots Boots,3199.0,2559.0,Steppings Boots Boots,3191,3097
Steppings Trendy Boots,3499.0,2099.0,Steppings Trendy Boots,3484,2367
Sam Stefy Boots,1050.0,449.0,Sam Stefy Boots,1041,565
TEN TEN Women's Tan Mid Length Boots Boots,4495.0,1895.0,TEN TEN Women's Tan Mid Length Boots Boots,4491,2440
Remson India Boots,3999.0,1999.0,Remson India Boots,3982,2284
Get Glamr Dazzle Boots,3499.0,499.0,Get Glamr Dazzle Boots,3482,584
"Jack Klein Goldjack Analog Watch  - For Boys, Men",1999.0,262.0,"Jack Klein Goldjack Analog Watch  - For Boys, Men",1989,296
Dearfoams Boots,1820.0,1820.0,Dearfoams Boots,1812,2278
"fastrack 38015PL01 Analog Watch  - For Men, Boys",2495.0,2495.0,"fastrack 38015PL01 Analog Watch  - For Men, Boys",2494,2798
Kielz Ladies Boots,2799.0,1299.0,Kielz Ladies Boots,2787,1488
"A Avon PK_504 Analog Watch  - For Men, Boys",2499.0,1249.0,"A Avon PK_504 Analog Watch  - For Men, Boys",2498,1545
Kielz Ladies Boots,1999.0,999.0,Kielz Ladies Boots,1987,1233
